x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28
-2.3999714851379395,2.399998426437378,1.0038710464066825,-2.400022506713867,1.6000148057937622,1.0044985472275876,-2.3999383449554443,0.8000110387802124,1.0033792074932717,-2.4000093936920166,4.185231773590203e-06,1.0048904796219431,-2.4000115394592285,-0.8000113368034363,1.0040890892795287,-2.3999786376953125,-1.600002646446228,1.0037204076643103,-2.399954080581665,-2.3999998569488525,1.0035422684676014,-1.6000101566314697,2.400026321411133,1.004142688415479,-1.6000171899795532,1.6000146865844727,1.0037558883107267,-1.6000114679336548,0.8000112175941467,1.00341993449023,-1.6000133752822876,3.0287972663245455e-07,1.003558829934802,-1.5999171733856201,-0.8000193238258362,1.002507335185539,-1.599927544593811,-1.599992036819458,1.0026380843254736,-1.600016713142395,-2.4000332355499268,1.0027926120026969,-0.7999454140663147,2.399994373321533,1.0019557867287658,-0.8000020384788513,1.6000112295150757,1.0029014856577851,-0.8000010251998901,0.800012469291687,1.002683925733436,-0.8001153469085693,0.00014373924932442605,1.0010120872608386,-0.800055980682373,-0.7998820543289185,1.0006947856852784,-0.7997692227363586,-1.5998930931091309,1.002997866698075,-0.7997445464134216,-2.3998937606811523,1.0016313720731995,2.3540309484815225e-05,2.4000000953674316,1.0013765532607213,-9.264591062674299e-05,1.5999183654785156,1.001057377487421,-0.00023458703071810305,0.7997466325759888,1.0012014114451595,-0.00021441522403620183,4.7866456043266226e-06,1.0,-0.00021721160737797618,-0.799821674823761,1.0012215749975293,9.476950071984902e-05,-1.599961519241333,1.0020770011437126,0.00021097686840221286,-2.399909496307373,1.001124785917811,0.8000096082687378,2.4000186920166016,1.0023847518130204
-2.4000046253204346,2.400094509124756,1.0152287010061554,-2.400186777114868,1.6001160144805908,1.0197608888554386,-2.3998618125915527,0.8000802993774414,1.0135742009277455,-2.4002206325531006,4.2342388042015955e-05,1.0187792514520697,-2.400265693664551,-0.8000924587249756,1.0158840698110871,-2.399935245513916,-1.6000431776046753,1.0186070520239883,-2.3998842239379883,-2.4001243114471436,1.0160561696621588,-1.6002520322799683,2.4003660678863525,1.0178983117523603,-1.6002031564712524,1.6001269817352295,1.0175853357794695,-1.6002751588821411,0.8001006245613098,1.0136176925445906,-1.6003118753433228,-1.1967544196522795e-05,1.0141558193783275,-1.5995361804962158,-0.8001400828361511,1.0131952144498937,-1.5995179414749146,-1.600203037261963,1.0126205383273772,-1.6003159284591675,-2.4002583026885986,1.0126880207615905,-0.7998285889625549,2.4002273082733154,1.0095143946441822,-0.8001859188079834,1.6001677513122559,1.0118291907790116,-0.8001874685287476,0.8001307249069214,1.0110726761738769,-0.801034688949585,0.0010073211742565036,1.0071075124065392,-0.8006592988967896,-0.7992305755615234,1.0067585637862795,-0.7983167171478271,-1.5992457866668701,1.0145254175546579,-0.7969704270362854,-2.398613452911377,1.0099604236069135,0.0001679374254308641,2.400085926055908,1.0076100142071955,-0.0006829409394413233,1.5995824337005615,1.0066854570615105,-0.0018246512627229095,0.7983718514442444,1.0065039340569637,-0.0016938121989369392,4.0574876038590446e-05,1.004507251163479,-0.0015008292393758893,-0.7990173697471619,1.0075676441895776,0.0004484325472731143,-1.5998542308807373,1.0097229958060197,0.0018534231930971146,-2.399217128753662,1.007780618592631,0.8000569343566895,2.400301933288574,1.0101001346777192
-2.4009363651275635,2.4007787704467773,1.0341718221562914,-2.400376558303833,1.6003443002700806,1.0425485190260224,-2.40078067779541,0.8002411127090454,1.0310203908490947,-2.4011781215667725,0.00016331218648701906,1.0418194052982144,-2.4015257358551025,-0.8003418445587158,1.0360352157908492,-2.4000589847564697,-1.600149393081665,1.0416255017030052,-2.400695323944092,-2.4009475708007812,1.0331044181692413,-1.6014337539672852,2.401791572570801,1.0392510354029945,-1.6009527444839478,1.6004847288131714,1.0391013041692785,-1.6015671491622925,0.8003729581832886,1.0307956256228499,-1.6017920970916748,-9.624208905734122e-05,1.0291913132625632,-1.5993037223815918,-0.8004056215286255,1.0301419695424847,-1.5988763570785522,-1.6016952991485596,1.027674500125926,-1.601845622062683,-2.400989532470703,1.025628885995131,-0.8007210493087769,2.4019594192504883,1.0209491901951842,-0.801310122013092,1.6008888483047485,1.0262817889112048,-0.801381528377533,0.8005651831626892,1.0233440426248126,-0.8039305806159973,0.002743725199252367,1.0174336727517657,-0.8028217554092407,-0.7982237935066223,1.0174198605152778,-0.7943606972694397,-1.5974787473678589,1.031408983792644,-0.791059136390686,-2.3958654403686523,1.0225462135183625,0.0003744498244486749,2.400923252105713,1.0177512238356285,-0.0021706747356802225,1.5994459390640259,1.0157078945445828,-0.005839591845870018,0.7963189482688904,1.0149704869571141,-0.005346476100385189,0.00013942093937657773,1.0132326934258453,-0.004138440825045109,-0.7986533641815186,1.0172269382062367,0.0007117230561561882,-1.5998998880386353,1.0216560258301906,0.0050177681259810925,-2.398162364959717,1.018105066213291,0.8001061081886292,2.4016029834747314,1.0214451488810592
-2.4033052921295166,2.4023704528808594,1.059803932975512,-2.3995437622070312,1.600576639175415,1.0723873457121662,-2.402850389480591,0.8005096316337585,1.0549220849829726,-2.4028995037078857,0.00034629288711585104,1.071273915420752,-2.4040448665618896,-0.8009244203567505,1.0647757370281032,-2.399718999862671,-1.6000245809555054,1.0715742903756909,-2.4033029079437256,-2.4026899337768555,1.0546703253346494,-1.6035538911819458,2.404653310775757,1.0667478035795501,-1.602674126625061,1.6012533903121948,1.06539949465869,-1.6040704250335693,0.8008525967597961,1.0531665423023515,-1.6048303842544556,-0.0002861865796148777,1.0492385479169897,-1.5995676517486572,-0.8008478283882141,1.052453002418857,-1.598354458808899,-1.6047314405441284,1.0474905332583002,-1.60499107837677,-2.40293288230896,1.0404242263841443,-0.803776741027832,2.4060263633728027,1.037092589657288,-0.8038776516914368,1.6024742126464844,1.045091386343818,-0.8042543530464172,0.801456868648529,1.0396263827937655,-0.808952808380127,0.004889707546681166,1.0335172716933303,-0.8061574101448059,-0.7974966168403625,1.032313331331592,-0.7865113019943237,-1.5938440561294556,1.050858774493914,-0.7819188833236694,-2.39152455329895,1.0387019279408267,0.0002997393603436649,2.4036130905151367,1.031080488290172,-0.00483000697568059,1.5997374057769775,1.0266474447431975,-0.011832970194518566,0.7950102686882019,1.0274588181334547,-0.010220824740827084,0.00028266344452276826,1.024712877083104,-0.007851699367165565,-0.799998939037323,1.0298690398219041,0.0016750465147197247,-1.5997915267944336,1.0359840223449281,0.00989146251231432,-2.39691424369812,1.030465812082868,0.8001024127006531,2.404486894607544,1.0366963709252885
-2.407492160797119,2.4050588607788086,1.0904590087044053,-2.3969006538391113,1.6005042791366577,1.1050705407964996,-2.4067609310150146,0.8009305596351624,1.084590178738814,-2.4050850868225098,0.0005365963443182409,1.1039776849257759,-2.4075698852539062,-0.8018032908439636,1.0983356732833198,-2.3981544971466064,-1.5994200706481934,1.103443901460152,-2.4082136154174805,-2.404900550842285,1.0811542359995656,-1.6056725978851318,2.4087343215942383,1.09784306038497,-1.6050647497177124,1.602158546447754,1.0937494096863083,-1.6073302030563354,0.8014658689498901,1.0791961971330455,-1.6091817617416382,-0.000560057524126023,1.0737320553767495,-1.5995852947235107,-0.8015168309211731,1.0770000859308055,-1.5977641344070435,-1.6082695722579956,1.0710894915568643,-1.608209252357483,-2.406362295150757,1.0586781225460582,-0.8074650168418884,2.411249876022339,1.0568648143368773,-0.8072482347488403,1.6045506000518799,1.0665744237112813,-0.8085614442825317,0.8027142286300659,1.059616206775885,-0.813342809677124,0.006309309042990208,1.0535499572413973,-0.8094393014907837,-0.797597348690033,1.050031847174745,-0.774067223072052,-1.588489055633545,1.0699894371735863,-0.769260585308075,-2.385483980178833,1.0557747973161749,0.00014815060421824455,2.4074602127075195,1.0450317161786369,-0.00727180065587163,1.6011075973510742,1.0379445958989673,-0.01650194637477398,0.7956331372261047,1.0415910263317636,-0.013545460067689419,0.00039091758662834764,1.0371441850322298,-0.010229947045445442,-0.8026236891746521,1.0440207017469219,0.005553837865591049,-1.5990639925003052,1.0502465967643073,0.018328027799725533,-2.3949904441833496,1.0417735817688516,0.8001315593719482,2.4085845947265625,1.0551642779964021
-2.4129467010498047,2.4085564613342285,1.1263123012590222,-2.3922977447509766,1.5997971296310425,1.1385387213635259,-2.4121286869049072,0.8018139004707336,1.118195768337231,-2.4065089225769043,0.0006193893495947123,1.1387720429706387,-2.40990948677063,-0.8023638725280762,1.133753463070374,-2.395949363708496,-1.5985825061798096,1.1352921052980236,-2.4145734310150146,-2.407226800918579,1.1129155507492832,-1.6063705682754517,2.4118316173553467,1.1305301371621899,-1.6053885221481323,1.6022833585739136,1.122233120005112,-1.6088544130325317,0.8018970489501953,1.1060011766660027,-1.613871693611145,-0.0008472292101942003,1.1013280022549443,-1.5976284742355347,-0.8021942973136902,1.1008764368104749,-1.5972720384597778,-1.61092209815979,1.0956533076274209,-1.6105568408966064,-2.411348581314087,1.079281608860474,-0.8090983033180237,2.415576457977295,1.077135923455935,-0.8085072040557861,1.605530858039856,1.0874737116801552,-0.81292724609375,0.8040223121643066,1.0828535339641385,-0.8137044906616211,0.005925904493778944,1.0743905671942047,-0.8111624717712402,-0.7988001108169556,1.0685924477684312,-0.7576754093170166,-1.582202434539795,1.087197191755753,-0.7515477538108826,-2.3775265216827393,1.0700655791866593,0.0003078998124692589,2.411550283432007,1.0586971833962016,-0.007460623048245907,1.6035983562469482,1.049906039770227,-0.016120553016662598,0.7981839179992676,1.0552086458909324,-0.01302691362798214,0.00039633773849345744,1.0488231778102926,-0.008718988858163357,-0.8050609827041626,1.0568995938706212,0.013881773687899113,-1.5974138975143433,1.0631564410435967,0.03218390792608261,-2.3916475772857666,1.0509288404989057,0.800355851650238,2.4116787910461426,1.0755424088644794
-2.416874408721924,2.4115793704986572,1.1644446617173962,-2.38513445854187,1.5980896949768066,1.170899395565968,-2.4169721603393555,0.8030357956886292,1.1537413860368542,-2.403665065765381,0.00028432573890313506,1.1729181800293735,-2.4083445072174072,-0.8022632002830505,1.1678845658111385,-2.3926782608032227,-1.5974825620651245,1.1663126539993098,-2.420079231262207,-2.4098739624023438,1.1481227804231458,-1.6045252084732056,2.41131591796875,1.161455874066334,-1.6006475687026978,1.600216269493103,1.1496335845398717,-1.6053270101547241,0.8018261790275574,1.1311921685743145,-1.6175246238708496,-0.001060338458046317,1.1312496263193896,-1.592270016670227,-0.8028174042701721,1.1225784313487819,-1.5979455709457397,-1.612725853919983,1.119750169079285,-1.6111916303634644,-2.4173943996429443,1.1012866940903476,-0.8066840767860413,2.417112112045288,1.0971683989870362,-0.8046138286590576,1.6037235260009766,1.105056904177647,-0.8140219449996948,0.8046768307685852,1.1057860323893838,-0.8084295392036438,0.0034565581008791924,1.0942554998802951,-0.8104209303855896,-0.800854504108429,1.0859027051138692,-0.7390322685241699,-1.5757687091827393,1.1020298572289757,-0.7276932001113892,-2.367668867111206,1.080873711268883,0.0011594366515055299,2.41489577293396,1.0716362960743717,-0.0054251221008598804,1.6065757274627686,1.0612307737576774,-0.009280746802687645,0.8016479015350342,1.067675093661528,-0.008039098232984543,0.00027598210726864636,1.0591910781222396,-0.0021329347509890795,-0.8060080409049988,1.0676501957881264,0.026328351348638535,-1.5947918891906738,1.074346297066193,0.05119941756129265,-2.386645555496216,1.0582617494273,0.8001130223274231,2.4114022254943848,1.0944683774220756
-2.416072368621826,2.4124999046325684,1.2016922279405406,-2.3746883869171143,1.5948007106781006,1.2010031695174983,-2.4197115898132324,0.8040479421615601,1.1884279184746556,-2.393176555633545,-0.000729150662664324,1.2040731830406002,-2.400913953781128,-0.8013822436332703,1.1999344438719564,-2.3873860836029053,-1.5961567163467407,1.1955462335157208,-2.421537399291992,-2.4123306274414062,1.184391768972855,-1.5985735654830933,2.4062082767486572,1.1902632060456089,-1.5900460481643677,1.5957459211349487,1.1754459587144666,-1.5951381921768188,0.8010955452919006,1.1540681724357418,-1.6184957027435303,-0.0010903581278398633,1.1610868090796285,-1.5834136009216309,-0.8036487102508545,1.1419951661038212,-1.6000075340270996,-1.6140334606170654,1.1444763789582066,-1.6105064153671265,-2.42284893989563,1.1234663106608205,-0.8003106713294983,2.4156434535980225,1.1156570832538417,-0.7946654558181763,1.5986799001693726,1.121482142786961,-0.8085123300552368,0.8038543462753296,1.1263409359860233,-0.7983485460281372,-0.0005174146499484777,1.1126706564831548,-0.8070803880691528,-0.8031512498855591,1.1013975540804677,-0.7199731469154358,-1.5695830583572388,1.1145386197972111,-0.6989290118217468,-2.3565807342529297,1.0891035229968837,0.0026537885423749685,2.417248249053955,1.0836428573834709,-0.002195989713072777,1.6097910404205322,1.0713080902504735,0.0026384387165308,0.8047862648963928,1.0778650951194577,0.0003069235826842487,4.337607242632657e-05,1.0685539929377845,0.008791448548436165,-0.805061399936676,1.0767793653416446,0.04109712690114975,-1.5913805961608887,1.0838880485701374,0.07296507060527802,-2.3804636001586914,1.0642050050604157,0.7997767925262451,2.4059176445007324,1.1097842774498277
-2.4090092182159424,2.410292625427246,1.2368999355840495,-2.3609602451324463,1.589423418045044,1.2292575340676122,-2.418457508087158,0.8045556545257568,1.224222152810078,-2.3741276264190674,-0.0024124025367200375,1.2315407950687223,-2.3876421451568604,-0.7999240159988403,1.2293379922914318,-2.3788435459136963,-1.5941349267959595,1.223570882956963,-2.417102575302124,-2.414177179336548,1.220283972601872,-1.5880763530731201,2.398437261581421,1.217246823112946,-1.5751372575759888,1.5897526741027832,1.1988064789581112,-1.5792028903961182,0.7997352480888367,1.1747953261542134,-1.613755464553833,-0.0007581178215332329,1.1912835843372158,-1.572182297706604,-0.8047682046890259,1.1589904631781391,-1.6025179624557495,-1.6149084568023682,1.168652025740128,-1.6092249155044556,-2.4263479709625244,1.145275746982079,-0.7910729050636292,2.411820888519287,1.1337107789325527,-0.7800706028938293,1.5916287899017334,1.1376538691925815,-0.7955610156059265,0.8012040257453918,1.1432371485042385,-0.7858129739761353,-0.004991491790860891,1.1297642559814267,-0.8016604781150818,-0.8051008582115173,1.1149973620283418,-0.7015777230262756,-1.5635616779327393,1.1249458439755253,-0.6683322787284851,-2.345319986343384,1.0955318164336494,0.004651275929063559,2.4186015129089355,1.0953576182234102,0.0012691396987065673,1.6132054328918457,1.0800870746183209,0.01721298322081566,0.8069790005683899,1.085981077651959,0.009992689825594425,-0.00026246209745295346,1.0773386984574609,0.02204999327659607,-0.8026868104934692,1.0849015614795499,0.05613402649760246,-1.5874584913253784,1.0919617959666066,0.09446939826011658,-2.3739678859710693,1.0690410150396636,0.8002738356590271,2.395087480545044,1.121991470139008
-2.3965892791748047,2.405081272125244,1.2702264416026883,-2.3448538780212402,1.582743525505066,1.255614214282017,-2.4134061336517334,0.8044437766075134,1.2583055020379834,-2.348154067993164,-0.004581321496516466,1.2562933946656993,-2.369650363922119,-0.7981048822402954,1.2553449580478482,-2.3669962882995605,-1.5911442041397095,1.2507825784492306,-2.4070334434509277,-2.414170026779175,1.2540362192201426,-1.5746322870254517,2.390058755874634,1.2429934112834744,-1.5580202341079712,1.5825810432434082,1.2193676178860477,-1.5600366592407227,0.7979198694229126,1.1938180690812878,-1.601288080215454,1.9544891983969137e-05,1.2185326049136929,-1.5595721006393433,-0.8059411644935608,1.176154266278725,-1.6034659147262573,-1.6150754690170288,1.1912637848067096,-1.6080693006515503,-2.427319288253784,1.1665944388317875,-0.7810143828392029,2.4072518348693848,1.1504602692532353,-0.7631679773330688,1.5841163396835327,1.1522246869611554,-0.7769584059715271,0.7970407009124756,1.1570391158866695,-0.7732188105583191,-0.009112274274230003,1.1458337837862782,-0.7946993708610535,-0.8062963485717773,1.1280724462079816,-0.6838228702545166,-1.5573159456253052,1.1335170129346661,-0.6390025615692139,-2.3347978591918945,1.1006046386468225,0.006777137517929077,2.419560670852661,1.1064082112717442,0.004477351438254118,1.6163657903671265,1.0898342516827397,0.03210847079753876,0.8083003163337708,1.0929372161435895,0.019127214327454567,-0.0005981599679216743,1.0858941378700546,0.0355183370411396,-0.7997525334358215,1.0924871570277028,0.07019293308258057,-1.583265781402588,1.0987674247133545,0.11370306462049484,-2.3679444789886475,1.0729363517868333,0.8021202683448792,2.380380153656006,1.1316331028151325
